Date,Origin,Price,Commodity,Location,Country,Continent,FOB_Price_Type,Currency/Unit
2025-03-28,2SRW,226.719118,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-28,US White,237.742738,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-28,HRW 11,248.4907675,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-28,HRW 12,255.8398475,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-28,HRS 13.5,243.850075,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-28,Argentine 12,242.2,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-28,APW,244.02720000000002,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-28,ASW,239.02720000000002,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-28,French 11.5,238.58493750000002,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-28,German 12.5,248.29008750000003,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-28,Black Sea Milling,254.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-27,2SRW,227.9133435,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-27,US White,238.9369635,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-27,HRW 11,248.03145,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-27,HRW 12,255.38053,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-27,HRS 13.5,242.6558625,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-27,Argentine 12,241.5,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-27,APW,247.647,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-27,ASW,242.647,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-27,French 11.5,242.73,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-27,German 12.5,252.4392,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-27,Black Sea Milling,254.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-26,2SRW,230.8529755,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-26,US White,241.8765955,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-26,HRW 11,249.5931295,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-26,HRW 12,256.9422095,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-26,HRS 13.5,243.850075,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-26,Argentine 12,241,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-26,APW,247.41110000000003,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-26,ASW,242.41110000000003,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-26,French 11.5,241.132325,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-26,German 12.5,250.853225,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-26,Black Sea Milling,250.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-25,2SRW,232.6902455,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-25,US White,243.7138655,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-25,HRW 11,252.808352,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-25,HRW 12,260.15743200000003,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-25,HRS 13.5,245.22801249999998,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-25,Argentine 12,245,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-25,APW,248.3227,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-25,ASW,243.3227,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-25,French 11.5,243.55156250000002,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-25,German 12.5,253.2828125,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-25,Black Sea Milling,250.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-22,2SRW,236.3647855,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-22,US White,246.2860435,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-22,HRW 11,256.7584825,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-22,HRW 12,264.10756250000003,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-22,HRS 13.5,249.913,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-22,Argentine 12,245,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-22,APW,248.18,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-22,ASW,243.18,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-22,French 11.5,244.39525,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-22,German 12.5,249.79625000000001,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-22,Black Sea Milling,252.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-21,2SRW,235.9973315,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-21,US White,245.9185895,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-21,HRW 11,255.931711,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-21,HRW 12,263.280791,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-21,HRS 13.5,249.82113750000002,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-21,Argentine 12,245,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-21,APW,248.99600000000004,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-21,ASW,243.99600000000004,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-21,French 11.5,250.28298750000002,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-21,German 12.5,255.70623750000001,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-21,Black Sea Milling,252.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-20,2SRW,238.293919,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-20,US White,248.215177,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-20,HRW 11,258.9632065,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-20,HRW 12,266.3122865,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-20,HRS 13.5,252.39328749999999,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-20,Argentine 12,243.5,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-20,APW,249.846,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-20,ASW,244.846,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-20,French 11.5,252.131875,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-20,German 12.5,256.49307500000003,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-20,Black Sea Milling,252.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-19,2SRW,238.8451,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-19,US White,248.766358,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-19,HRW 11,263.1889275,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-19,HRW 12,270.5380075,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-19,HRS 13.5,253.22005000000001,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-19,Argentine 12,242.7,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-19,APW,249.2028,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-19,ASW,244.2028,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-19,French 11.5,246.86137499999998,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-19,German 12.5,251.225775,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-19,Black Sea Milling,251.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-18,2SRW,240.131189,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-18,US White,250.052447,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-18,HRW 11,262.913337,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-18,HRW 12,270.262417,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-18,HRS 13.5,253.58749999999998,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-18,Argentine 12,241.7,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-18,APW,253.1725,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-18,ASW,248.1725,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-18,French 11.5,250.2532,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-18,German 12.5,254.634,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-18,Black Sea Milling,249.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-15,2SRW,239.580008,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-15,US White,243.254548,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-15,HRW 11,255.747984,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-15,HRW 12,263.097064,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-15,HRS 13.5,248.88153749999998,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-15,Argentine 12,241.9,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-15,APW,249.34970000000004,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-15,ASW,244.34970000000004,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-15,French 11.5,245.53016600000004,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-15,German 12.5,251.90672500000005,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-15,Black Sea Milling,249.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-14,2SRW,241.60100500000001,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-14,US White,245.275545,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-14,HRW 11,256.299165,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-14,HRW 12,263.648245,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-14,HRS 13.5,249.61643750000002,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-14,Argentine 12,240.9,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-14,APW,249.1124,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-14,ASW,244.1124,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-14,French 11.5,248.284762,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-14,German 12.5,254.6622,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-14,Black Sea Milling,249.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-13,2SRW,238.477646,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-13,US White,242.152186,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-13,HRW 11,250.971082,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-13,HRW 12,258.320162,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-13,HRS 13.5,246.21752500000002,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-13,Argentine 12,239.5,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-13,APW,248.99600000000004,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-13,ASW,243.99600000000004,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-13,French 11.5,245.23558950000003,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-13,German 12.5,251.61156250000005,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-13,Black Sea Milling,249.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-12,2SRW,239.4881445,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-12,US White,243.1626845,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-12,HRW 11,250.60362800000001,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-12,HRW 12,257.95270800000003,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-12,HRS 13.5,247.22801249999998,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-12,Argentine 12,239.5,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-12,APW,248.99600000000004,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-12,ASW,243.99600000000004,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-12,French 11.5,245.22432,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-12,German 12.5,251.60000000000002,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-12,Black Sea Milling,249.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-11,2SRW,241.60100500000001,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-11,US White,245.275545,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-11,HRW 11,252.992079,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-11,HRW 12,260.341159,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-11,HRS 13.5,247,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-11,Argentine 12,241,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-11,APW,249.29504000000003,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-11,ASW,244.29504000000003,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-11,French 11.5,246.649291,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-11,German 12.5,253.04782500000002,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-11,Black Sea Milling,247.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-08,2SRW,235.6298775,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-08,US White,234.1600615,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-08,HRW 11,247.9395865,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-08,HRW 12,255.2886665,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-08,HRS 13.5,245.57448749999998,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-08,Argentine 12,235,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-08,APW,247.1415,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-08,ASW,242.1415,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-08,French 11.5,244.96641050000002,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-08,German 12.5,251.32128750000004,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-08,Black Sea Milling,247.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-07,2SRW,236.640376,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-07,US White,235.17056,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-07,HRW 11,248.3070405,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-07,HRW 12,255.65612050000001,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-07,HRS 13.5,246.03379999999999,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-07,Argentine 12,235,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-07,APW,247.81550000000001,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-07,ASW,242.81550000000001,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-07,French 11.5,244.14058400000002,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-07,German 12.5,250.50220000000002,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-07,Black Sea Milling,247.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-06,2SRW,234.5275155,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-06,US White,233.0576995,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-06,HRW 11,245.091818,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-06,HRW 12,252.440898,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-06,HRS 13.5,238.31734999999998,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-06,Argentine 12,230.5,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-06,APW,250.45800000000003,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-06,ASW,245.45800000000003,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-06,French 11.5,243.286284,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-06,German 12.5,249.61860000000001,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-06,Black Sea Milling,247.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-06,2SRW,234.5275155,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-06,US White,233.0576995,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-06,HRW 11,245.091818,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-06,HRW 12,252.440898,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-06,HRS 13.5,238.31734999999998,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-06,Argentine 12,230.5,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-06,APW,250.49200000000002,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-06,ASW,245.49200000000002,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-06,French 11.5,243.432625,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-06,German 12.5,249.76875,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-06,Black Sea Milling,247.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-05,2SRW,230.3017945,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-05,US White,228.8319785,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-05,HRW 11,241.968459,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-05,HRW 12,249.317539,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-05,HRS 13.5,235.37775,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-05,Argentine 12,232,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-05,APW,245.447,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-05,ASW,240.447,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-05,French 11.5,241.367108,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-05,German 12.5,243.35675000000003,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-05,Black Sea Milling,249.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-04,2SRW,234.3437885,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-04,US White,232.8739725,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-04,HRW 11,246.929088,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-04,HRW 12,254.278168,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-04,HRS 13.5,239.51156250000003,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-04,Argentine 12,232,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-04,APW,245.4851,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-04,ASW,240.4851,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-04,French 11.5,239.670774,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-04,German 12.5,241.62907500000003,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-04,Black Sea Milling,249.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-03-01,2SRW,235.44615050000002,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-01,US White,228.0970705,Wheat,PNW,USA,North America,Flat,US$/Mt
2025-03-01,HRW 11,249.133812,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-01,HRW 12,256.482892,Wheat,Gulf,USA,North America,Flat,US$/Mt
2025-03-01,HRS 13.5,241.8999875,Wheat,Lakes,USA,North America,Flat,US$/Mt
2025-03-01,Argentine 12,232,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2025-03-01,APW,247.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-01,ASW,243.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2025-03-01,French 11.5,237.214,Wheat,Rouen,France,Europe,Flat,US$/Mt
2025-03-01,German 12.5,241.7375,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2025-03-01,Black Sea Milling,252.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2025-02-28,2SRW,237.926465,Wheat,Gulf,USA,North America,Flat,US$/Mt
